mu_B,energy_density,pressure
990.0,119.56433547029268,2.7059455326467505
991.0,120.33042432771094,2.868892104629879
992.0,121.09148145691543,3.0330995298508254
993.0,121.84762974640749,3.198552832729934
994.0,122.59898767600679,3.365237506774467
995.0,123.34566953641487,3.533139493085922
996.0,124.08778563480742,3.7022451601625317
997.0,124.82544248753624,3.8725412849003122
998.0,125.55874300090622,4.044015034704998
999.0,126.28778664095024,4.21665395063554
1000.0,127.01266959298131,4.390445931504913
1001.0,127.73348491169648,4.565379218871777
1002.0,128.45032266249245,4.741442382861065
1003.0,129.16327005463003,4.918624308757413
1004.0,129.8724115668099,5.096914184319045
1005.0,130.5778290656835,5.276301487763937
1006.0,131.2796019177948,5.456775976385279
1007.0,131.9778070953398,5.638327675748658
1008.0,132.67251928464944,5.8209468709947165
1009.0,133.3638109399047,6.004624089550807
1010.0,134.05175246474127,6.189350108856108
1011.0,134.7364121755917,6.375115925032713
1012.0,135.4178564812711,6.561912762871381
1013.0,136.0961499002916,6.749732056768372
1014.0,136.7713551953839,6.938565454989033
1015.0,137.4435333665875,7.1284047978337215
1016.0,138.11274376545902,7.31924212004461
1017.0,138.77904414590267,7.5110696419963645
1018.0,139.44249072363678,7.703879763409974
1019.0,140.1031382328214,7.897665057348637
1020.0,140.76103998002762,8.092418264478036
1021.0,141.41624789568462,8.28813228757787
1022.0,142.06881258315659,8.484800186290858
1023.0,142.71878336558098,8.682415172095705
1024.0,143.3662083305975,8.880970603493134
1025.0,144.0111343730813,9.080459981390527
1026.0,144.65360723597033,9.280876944680195
1027.0,145.29367154939553,9.482215265995942
1028.0,145.93137086764517,9.684468847666293
1029.0,146.566747705497,9.8876317177728
1030.0,147.1998435721193,10.091698026441057
1031.0,147.83069900386545,10.296662042198559
1032.0,148.45935359575236,10.5025181485368
1033.0,149.08584603157016,10.709260840576807
1034.0,149.71021411277226,10.916884721868044
1035.0,150.3324947861951,11.125384501308366
1036.0,150.95272417066425,11.334754990179297
1037.0,151.57093758254067,11.544991099291648
1038.0,152.18716956026086,11.756087836235944
1039.0,152.801453887915,11.968040302733293
1040.0,153.41382361791435,12.180843692081844
1041.0,154.02431109278606,12.394493286694617
1042.0,154.6329479661389,12.60898445572479
1043.0,155.23976522283812,12.824312652774234
1044.0,155.84479319842276,13.040473413682511
1045.0,156.4480615978069,13.257462354391448
1046.0,157.049599513288,13.475275168883304
1047.0,157.64943544190075,13.693907627189184
1048.0,158.24759730214296,13.913355573463631
1049.0,158.84411245009986,14.133614924124728
1050.0,159.4390076949948,14.354681666054631
1051.0,160.0323093141912,14.576551854859963
1052.0,160.6240430676685,14.799221613188193
1053.0,161.21423421199384,15.022687129099145
1054.0,161.80290751381483,15.246944654488052
1055.0,162.39008726288708,15.47199050355886
1056.0,162.9757972846621,15.697821051346065
1057.0,163.56006095244916,15.924432732281973
1058.0,164.14290119917192,16.151822038809403
1059.0,164.7243405287344,16.37998552003621
1060.0,165.30440102701127,16.60891978043172
1061.0,165.88310437248168,16.838621478561667
1062.0,166.46047184651445,17.069087325862505
1063.0,167.0365243433248,17.300314085451337
1064.0,167.61128237961088,17.53229857097119
1065.0,168.18476610388535,17.76503764547077
1066.0,168.75699530551205,17.99852822031674
1067.0,169.3279894234598,18.23276725413717
1068.0,169.89776755478425,18.467751751795692
1069.0,170.46634846284854,18.703478763395232
1070.0,171.0337505852908,18.93994538330946
1071.0,171.59999204174946,19.177148749241915
1072.0,172.16509064135602,19.415086041311213
1073.0,172.72906389000107,19.653754481161922
1074.0,173.29192899738442,19.893151331099734
1075.0,173.85370288385738,20.13327389325044
1076.0,174.41440218706126,20.37411950874166
1077.0,174.97404326837434,20.61568555690694
1078.0,175.5326422191694,20.857969454510968
1079.0,176.09021486689207,21.10096865499556
1080.0,176.64677678096442,21.344680647745516
1081.0,177.20234327852046,21.58910295737398
1082.0,177.75692942997904,21.834233143026292
1083.0,178.31055006446016,22.080068797702033
1084.0,178.8632197750494,22.326607547594413
1085.0,179.41495292391787,22.57384705144682
1086.0,179.9657636472982,22.82178499992555
1087.0,180.51566586032595,23.07041911500851
1088.0,181.06467326174834,23.319747149389272
1089.0,181.61279933850548,23.569766885896037
1090.0,182.16005737018776,23.820476136925073
1091.0,182.70646043337484,24.071872743887884
1092.0,183.25202140585776,24.32395457667238
1093.0,183.79675297075048,24.576719533116908
1094.0,184.3406676204934,24.830165538496793
1095.0,184.88377766075016,25.08429054502383
1096.0,185.42609521420673,25.339092531357288
1097.0,185.967632224269,25.59456950212687
1098.0,186.50840045866804,25.850719487466534
1099.0,187.04841151296944,26.107540542559786
1100.0,187.58767681399655,26.365030747195245
1101.0,188.1262076231672,26.623188205332674
1102.0,188.6640150397452,26.882011044679196
1103.0,189.201110004012,27.141497416274746
1104.0,189.73750330035887,27.401645494087735
1105.0,190.27320556030153,27.662453474619124
1106.0,190.8082272654231,27.923919576516163
1107.0,191.34257875015444,28.186042040838867
1108.0,191.87627020491252,28.448819128121183
1109.0,192.40931167834876,28.712249121849467
1110.0,192.94171307985843,28.976330324648185
1111.0,193.47348418402626,29.241061062222414
1112.0,194.00463463021177,29.506439677530437
1113.0,194.53517392744803,29.772464534281596
1114.0,195.065111454688,30.039134015010028
1115.0,195.59445646576154,30.306446521828153
1116.0,196.12321808989418,30.57440047537845
1117.0,196.65140533442604,30.842994314720542
1118.0,197.17902708701757,31.11222649703464
1119.0,197.7060921178027,31.382095497330972
1120.0,198.2326090814952,31.652599808165224
1121.0,198.75858651944444,31.923737939360226
1122.0,199.2840328616475,32.19550841773333
1123.0,199.80895642871283,32.46790978682895
1124.0,200.33336543378493,32.7409406066576
1125.0,200.85726798441894,33.01459945343881
1126.0,201.38067208442152,33.28888491935097
1127.0,201.90358563564513,33.56379561228455
1128.0,202.42601643974655,33.83933015560208
1129.0,202.94797219988808,34.1154871878995
1130.0,203.4694605224545,34.392265362766246
1131.0,203.99048891867875,34.66966334858752
1132.0,204.51106480625447,34.947679828297076
1133.0,205.03119551091265,35.226313499166764
1134.0,205.55088826796077,35.505563072591535
1135.0,206.07015022379017,35.785427273879414
1136.0,206.58898843735247,36.065904842045384
1137.0,207.10740988160637,36.34699452961029
1138.0,207.62542144493102,36.62869510240219
1139.0,208.14302993251476,36.911005339363115
1140.0,208.66024206771206,37.1939240323591
1141.0,209.17706442943407,37.477449955947655
1142.0,209.69350377188928,37.761582016827866
